"index","date","country","confirmed","deaths","recovered"
147,"2020-01-22",Saudi Arabia,,,
148,"2020-01-22",Senegal,,,
149,"2020-01-22",Serbia,,,
150,"2020-01-22",Seychelles,,,
151,"2020-01-22",Sierra Leone,,,
152,"2020-01-22",Singapore,,,
153,"2020-01-22",Slovakia,,,
154,"2020-01-22",Slovenia,,,
155,"2020-01-22",Solomon Islands,,,
156,"2020-01-22",Somalia,,,
157,"2020-01-22",South Africa,,,
158,"2020-01-22",South Sudan,,,
159,"2020-01-22",Spain,,,
160,"2020-01-22",Sri Lanka,,,
161,"2020-01-22",Sudan,,,
162,"2020-01-22",Suriname,,,
163,"2020-01-22",Sweden,,,
164,"2020-01-22",Switzerland,,,
165,"2020-01-22",Syria,,,
166,"2020-01-22",Taiwan*,,,
167,"2020-01-22",Tajikistan,,,
168,"2020-01-22",Tanzania,,,
169,"2020-01-22",Thailand,,,
170,"2020-01-22",Timor-Leste,,,
171,"2020-01-22",Togo,,,
172,"2020-01-22",Trinidad and Tobago,,,
173,"2020-01-22",Tunisia,,,
174,"2020-01-22",Turkey,,,
175,"2020-01-22",US,,,
176,"2020-01-22",Uganda,,,
177,"2020-01-22",Ukraine,,,
178,"2020-01-22",United Arab Emirates,,,
179,"2020-01-22",United Kingdom,,,
180,"2020-01-22",Uruguay,,,
181,"2020-01-22",Uzbekistan,,,
182,"2020-01-22",Vanuatu,,,
183,"2020-01-22",Venezuela,,,
184,"2020-01-22",Vietnam,,,
185,"2020-01-22",West Bank and Gaza,,,
186,"2020-01-22",Yemen,,,
187,"2020-01-22",Zambia,,,
188,"2020-01-22",Zimbabwe,,,
189,"2020-01-23",Afghanistan,0.0,0.0,0.0
190,"2020-01-23",Albania,0.0,0.0,0.0
191,"2020-01-23",Algeria,0.0,0.0,0.0
192,"2020-01-23",Andorra,0.0,0.0,0.0
193,"2020-01-23",Angola,0.0,0.0,0.0
194,"2020-01-23",Antigua and Barbuda,0.0,0.0,0.0
195,"2020-01-23",Argentina,0.0,0.0,0.0
196,"2020-01-23",Armenia,0.0,0.0,0.0
197,"2020-01-23",Austria,0.0,0.0,0.0
198,"2020-01-23",Azerbaijan,0.0,0.0,0.0
199,"2020-01-23",Bahamas,0.0,0.0,0.0
200,"2020-01-23",Bahrain,0.0,0.0,0.0
201,"2020-01-23",Bangladesh,0.0,0.0,0.0
202,"2020-01-23",Barbados,0.0,0.0,0.0
203,"2020-01-23",Belarus,0.0,0.0,0.0
204,"2020-01-23",Belgium,0.0,0.0,0.0
205,"2020-01-23",Belize,0.0,0.0,0.0
206,"2020-01-23",Benin,0.0,0.0,0.0
207,"2020-01-23",Bhutan,0.0,0.0,0.0
208,"2020-01-23",Bolivia,0.0,0.0,0.0
209,"2020-01-23",Bosnia and Herzegovina,0.0,0.0,0.0
210,"2020-01-23",Botswana,0.0,0.0,0.0
211,"2020-01-23",Brazil,0.0,0.0,0.0
212,"2020-01-23",Brunei,0.0,0.0,0.0
213,"2020-01-23",Bulgaria,0.0,0.0,0.0
214,"2020-01-23",Burkina Faso,0.0,0.0,0.0
215,"2020-01-23",Burma,0.0,0.0,0.0
216,"2020-01-23",Burundi,0.0,0.0,0.0
217,"2020-01-23",Cabo Verde,0.0,0.0,0.0
218,"2020-01-23",Cambodia,0.0,0.0,0.0
219,"2020-01-23",Cameroon,0.0,0.0,0.0
220,"2020-01-23",Central African Republic,0.0,0.0,0.0
221,"2020-01-23",Chad,0.0,0.0,0.0
222,"2020-01-23",Chile,0.0,0.0,0.0
223,"2020-01-23",Colombia,0.0,0.0,0.0
224,"2020-01-23",Comoros,0.0,0.0,0.0
225,"2020-01-23",Congo (Brazzaville),0.0,0.0,0.0
226,"2020-01-23",Congo (Kinshasa),0.0,0.0,0.0
227,"2020-01-23",Costa Rica,0.0,0.0,0.0
228,"2020-01-23",Cote d'Ivoire,0.0,0.0,0.0
229,"2020-01-23",Croatia,0.0,0.0,0.0
230,"2020-01-23",Cuba,0.0,0.0,0.0
231,"2020-01-23",Cyprus,0.0,0.0,0.0
232,"2020-01-23",Czechia,0.0,0.0,0.0
233,"2020-01-23",Denmark,0.0,0.0,0.0
234,"2020-01-23",Diamond Princess,0.0,0.0,0.0
235,"2020-01-23",Djibouti,0.0,0.0,0.0
236,"2020-01-23",Dominica,0.0,0.0,0.0
237,"2020-01-23",Dominican Republic,0.0,0.0,0.0
238,"2020-01-23",Ecuador,0.0,0.0,0.0
239,"2020-01-23",Egypt,0.0,0.0,0.0
240,"2020-01-23",El Salvador,0.0,0.0,0.0
241,"2020-01-23",Equatorial Guinea,0.0,0.0,0.0
242,"2020-01-23",Eritrea,0.0,0.0,0.0
243,"2020-01-23",Estonia,0.0,0.0,0.0
244,"2020-01-23",Eswatini,0.0,0.0,0.0
245,"2020-01-23",Ethiopia,0.0,0.0,0.0
246,"2020-01-23",Fiji,0.0,0.0,0.0
247,"2020-01-23",Finland,0.0,0.0,0.0
248,"2020-01-23",France,0.0,0.0,0.0
249,"2020-01-23",Gabon,0.0,0.0,0.0
250,"2020-01-23",Gambia,0.0,0.0,0.0
251,"2020-01-23",Georgia,0.0,0.0,0.0
252,"2020-01-23",Germany,0.0,0.0,0.0
253,"2020-01-23",Ghana,0.0,0.0,0.0
254,"2020-01-23",Greece,0.0,0.0,0.0
255,"2020-01-23",Grenada,0.0,0.0,0.0
256,"2020-01-23",Guatemala,0.0,0.0,0.0
257,"2020-01-23",Guinea,0.0,0.0,0.0
258,"2020-01-23",Guinea-Bissau,0.0,0.0,0.0
259,"2020-01-23",Guyana,0.0,0.0,0.0
260,"2020-01-23",Haiti,0.0,0.0,0.0
261,"2020-01-23",Holy See,0.0,0.0,0.0
262,"2020-01-23",Honduras,0.0,0.0,0.0
263,"2020-01-23",Hungary,0.0,0.0,0.0
264,"2020-01-23",Iceland,0.0,0.0,0.0
265,"2020-01-23",India,0.0,0.0,0.0
266,"2020-01-23",Indonesia,0.0,0.0,0.0
267,"2020-01-23",Iran,0.0,0.0,0.0
268,"2020-01-23",Iraq,0.0,0.0,0.0
269,"2020-01-23",Ireland,0.0,0.0,0.0
270,"2020-01-23",Israel,0.0,0.0,0.0
271,"2020-01-23",Italy,0.0,0.0,0.0
272,"2020-01-23",Jamaica,0.0,0.0,0.0
273,"2020-01-23",Japan,0.0,0.0,0.0
274,"2020-01-23",Jordan,0.0,0.0,0.0
275,"2020-01-23",Kazakhstan,0.0,0.0,0.0
276,"2020-01-23",Kenya,0.0,0.0,0.0
277,"2020-01-23","Korea, South",0.0,0.0,0.0
278,"2020-01-23",Kosovo,0.0,0.0,0.0
279,"2020-01-23",Kuwait,0.0,0.0,0.0
280,"2020-01-23",Kyrgyzstan,0.0,0.0,0.0
281,"2020-01-23",Laos,0.0,0.0,0.0
282,"2020-01-23",Latvia,0.0,0.0,0.0
283,"2020-01-23",Lebanon,0.0,0.0,0.0
284,"2020-01-23",Lesotho,0.0,0.0,0.0
285,"2020-01-23",Liberia,0.0,0.0,0.0
286,"2020-01-23",Libya,0.0,0.0,0.0
287,"2020-01-23",Liechtenstein,0.0,0.0,0.0
288,"2020-01-23",Lithuania,0.0,0.0,0.0
289,"2020-01-23",Luxembourg,0.0,0.0,0.0
290,"2020-01-23",MS Zaandam,0.0,0.0,0.0
291,"2020-01-23",Madagascar,0.0,0.0,0.0
292,"2020-01-23",Malawi,0.0,0.0,0.0
293,"2020-01-23",Malaysia,0.0,0.0,0.0
294,"2020-01-23",Maldives,0.0,0.0,0.0
295,"2020-01-23",Mali,0.0,0.0,0.0
296,"2020-01-23",Malta,0.0,0.0,0.0
297,"2020-01-23",Marshall Islands,0.0,0.0,0.0
298,"2020-01-23",Mauritania,0.0,0.0,0.0
299,"2020-01-23",Mauritius,0.0,0.0,0.0
300,"2020-01-23",Mexico,0.0,0.0,0.0
301,"2020-01-23",Micronesia,0.0,0.0,0.0
302,"2020-01-23",Moldova,0.0,0.0,0.0
303,"2020-01-23",Monaco,0.0,0.0,0.0
304,"2020-01-23",Mongolia,0.0,0.0,0.0
305,"2020-01-23",Montenegro,0.0,0.0,0.0
306,"2020-01-23",Morocco,0.0,0.0,0.0
307,"2020-01-23",Mozambique,0.0,0.0,0.0
308,"2020-01-23",Namibia,0.0,0.0,0.0
309,"2020-01-23",Nepal,0.0,0.0,0.0
310,"2020-01-23",Netherlands,0.0,0.0,0.0
311,"2020-01-23",New Zealand,0.0,0.0,0.0
312,"2020-01-23",Nicaragua,0.0,0.0,0.0
313,"2020-01-23",Niger,0.0,0.0,0.0
314,"2020-01-23",Nigeria,0.0,0.0,0.0
315,"2020-01-23",North Macedonia,0.0,0.0,0.0
316,"2020-01-23",Norway,0.0,0.0,0.0
317,"2020-01-23",Oman,0.0,0.0,0.0
318,"2020-01-23",Pakistan,0.0,0.0,0.0
319,"2020-01-23",Panama,0.0,0.0,0.0
320,"2020-01-23",Papua New Guinea,0.0,0.0,0.0
321,"2020-01-23",Paraguay,0.0,0.0,0.0
322,"2020-01-23",Peru,0.0,0.0,0.0
323,"2020-01-23",Philippines,0.0,0.0,0.0
324,"2020-01-23",Poland,0.0,0.0,0.0
325,"2020-01-23",Portugal,0.0,0.0,0.0
326,"2020-01-23",Qatar,0.0,0.0,0.0
327,"2020-01-23",Romania,0.0,0.0,0.0
328,"2020-01-23",Russia,0.0,0.0,0.0
329,"2020-01-23",Rwanda,0.0,0.0,0.0
330,"2020-01-23",Saint Kitts and Nevis,0.0,0.0,0.0
331,"2020-01-23",Saint Lucia,0.0,0.0,0.0
332,"2020-01-23",Saint Vincent and the Grenadines,0.0,0.0,0.0
333,"2020-01-23",Samoa,0.0,0.0,0.0
334,"2020-01-23",San Marino,0.0,0.0,0.0
335,"2020-01-23",Sao Tome and Principe,0.0,0.0,0.0
336,"2020-01-23",Saudi Arabia,0.0,0.0,0.0
337,"2020-01-23",Senegal,0.0,0.0,0.0
338,"2020-01-23",Serbia,0.0,0.0,0.0
339,"2020-01-23",Seychelles,0.0,0.0,0.0
340,"2020-01-23",Sierra Leone,0.0,0.0,0.0
341,"2020-01-23",Singapore,1.0,0.0,0.0
342,"2020-01-23",Slovakia,0.0,0.0,0.0
343,"2020-01-23",Slovenia,0.0,0.0,0.0
344,"2020-01-23",Solomon Islands,0.0,0.0,0.0
345,"2020-01-23",Somalia,0.0,0.0,0.0
346,"2020-01-23",South Africa,0.0,0.0,0.0
347,"2020-01-23",South Sudan,0.0,0.0,0.0
348,"2020-01-23",Spain,0.0,0.0,0.0
349,"2020-01-23",Sri Lanka,0.0,0.0,0.0
350,"2020-01-23",Sudan,0.0,0.0,0.0
351,"2020-01-23",Suriname,0.0,0.0,0.0
352,"2020-01-23",Sweden,0.0,0.0,0.0
353,"2020-01-23",Switzerland,0.0,0.0,0.0
354,"2020-01-23",Syria,0.0,0.0,0.0
355,"2020-01-23",Taiwan*,0.0,0.0,0.0
356,"2020-01-23",Tajikistan,0.0,0.0,0.0
357,"2020-01-23",Tanzania,0.0,0.0,0.0
358,"2020-01-23",Thailand,0.0,0.0,0.0
359,"2020-01-23",Timor-Leste,0.0,0.0,0.0
360,"2020-01-23",Togo,0.0,0.0,0.0
361,"2020-01-23",Trinidad and Tobago,0.0,0.0,0.0
362,"2020-01-23",Tunisia,0.0,0.0,0.0
363,"2020-01-23",Turkey,0.0,0.0,0.0
364,"2020-01-23",US,0.0,0.0,0.0
365,"2020-01-23",Uganda,0.0,0.0,0.0
366,"2020-01-23",Ukraine,0.0,0.0,0.0
367,"2020-01-23",United Arab Emirates,0.0,0.0,0.0
368,"2020-01-23",United Kingdom,0.0,0.0,0.0
369,"2020-01-23",Uruguay,0.0,0.0,0.0
370,"2020-01-23",Uzbekistan,0.0,0.0,0.0
371,"2020-01-23",Vanuatu,0.0,0.0,0.0
372,"2020-01-23",Venezuela,0.0,0.0,0.0
373,"2020-01-23",Vietnam,2.0,0.0,0.0
374,"2020-01-23",West Bank and Gaza,0.0,0.0,0.0
375,"2020-01-23",Yemen,0.0,0.0,0.0
376,"2020-01-23",Zambia,0.0,0.0,0.0
377,"2020-01-23",Zimbabwe,0.0,0.0,0.0
378,"2020-01-24",Afghanistan,0.0,0.0,0.0
379,"2020-01-24",Albania,0.0,0.0,0.0
380,"2020-01-24",Algeria,0.0,0.0,0.0
381,"2020-01-24",Andorra,0.0,0.0,0.0
382,"2020-01-24",Angola,0.0,0.0,0.0
383,"2020-01-24",Antigua and Barbuda,0.0,0.0,0.0
384,"2020-01-24",Argentina,0.0,0.0,0.0
385,"2020-01-24",Armenia,0.0,0.0,0.0
386,"2020-01-24",Austria,0.0,0.0,0.0
387,"2020-01-24",Azerbaijan,0.0,0.0,0.0
388,"2020-01-24",Bahamas,0.0,0.0,0.0
389,"2020-01-24",Bahrain,0.0,0.0,0.0
390,"2020-01-24",Bangladesh,0.0,0.0,0.0
391,"2020-01-24",Barbados,0.0,0.0,0.0
